product_name,Original,discount,image,timestamp
Krunch Biscuit (390g),RM9.30,26%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Rasa All-in-One Seasonin…,RM7.53,24%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Rasa All-in-One Seasonin…,RM5.68,24%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Cup Curry Flavor 58g x 6…,RM10.86,22%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Classic Refill Pack 100g…,RM13.43,12%,https://shopee.com.my/image_not_available.jpg,6/07/2025
,RM3.09,,https://shopee.com.my/image_not_available.jpg,6/07/2025
COD,RM12.21,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Sea Shipping,RM13.35,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Sea Shipping,RM13.00,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Sea Shipping,RM24.55,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Dutch Lady UHT Milk Full…,RM23.59,11%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Classic Refill Pack 300g…,RM33.67,12%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Classic Decaf Water Dec…,RM19.68,11%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Rasa All-in-One Seasonin…,RM2.89,22%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Aroma Classic Refill Pac…,RM24.15,10%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Cornflakes Cereal 500g…,RM11.74,21%,https://shopee.com.my/image_not_available.jpg,6/07/2025
EVERYDAY FMP Softpac…,RM42.14,20%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Chicken Carbonara Rame…,RM23.65,19%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Giler Ayam Bakar 76g x 5…,RM8.85,11%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Concentrate Regular 2L,RM23.85,15%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Family Pack,RM10.29,18%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Drink Mixed Berries 125…,RM14.59,23%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Plus Acticol Milk Powder…,RM41.16,22%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Activ-Go HCL2.0 Energy…,RM20.84,15%,https://shopee.com.my/image_not_available.jpg,6/07/2025
NESTLE Milo Chocolate…,RM49.15,12%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Price Range,RM MIN,,https://shopee.com.my/image_not_available.jpg,6/07/2025
RM MIN,RM MAX,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Granola Oats Cranberry &…,RM16.86,8%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Arabica & Robusta Jar…,RM43.57,12%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Ambi Pur Fabric Refreshe…,RM10.70,23%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Freshener Downy Room…,RM15.19,24%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Korean Spicy Goreng 87g…,RM9.03,5%,https://shopee.com.my/image_not_available.jpg,6/07/2025
,RM10.18,,https://shopee.com.my/image_not_available.jpg,6/07/2025
COD,RM3.99,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Sea Shipping,RM9.95,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Sea Shipping,RM2.19,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Sea Shipping,RM20.56,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Sugar-Free 2 In 1 Coffee…,RM9.50,22%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Drink Mixed Berries 125…,RM3.99,33%,https://shopee.com.my/image_not_available.jpg,6/07/2025
𝗯𝗮𝗰𝘁𝗲𝗿𝗶𝗮𝗹 Foaming Hand…,RM6.78,29%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Syiok Tom Yam Kaw 96g…,RM3.65,21%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Softener Blooming Garde…,RM6.64,10%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Price Range,RM MIN,,https://shopee.com.my/image_not_available.jpg,6/07/2025
RM MIN,RM MAX,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Awaken Mind Classic Jar…,RM14.55,20%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Spaghetti 500G,RM6.78,20%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Libresse Maxi Night Wing…,RM14.65,29%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Revitalizing Cream…,RM11.70,31%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Chicken Stock Cube 120…,RM5.37,11%,https://shopee.com.my/image_not_available.jpg,6/07/2025
,RM18.31,,https://shopee.com.my/image_not_available.jpg,6/07/2025
COD,RM5.38,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Sea Shipping,RM11.85,,https://shopee.com.my/image_not_available.jpg,6/07/2025
COD,RM4.80,,https://shopee.com.my/image_not_available.jpg,6/07/2025
COD,RM8.69,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Peanut & Raisin 70g,RM2.40,25%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Cup Granola Mixed Berrie…,RM7.20,19%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Elegant Blossom And Ou…,RM16.09,23%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Cheese 290g,RM6.35,12%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Sour Cream & Onion 102g,RM6.44,13%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Price Range,RM MIN,,https://shopee.com.my/image_not_available.jpg,6/07/2025
RM MIN,RM MAX,,https://shopee.com.my/image_not_available.jpg,6/07/2025
White Exfoliating Mineral…,RM21.08,23%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Detergent Brilliant White…,RM10.75,28%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Arabica Jar 100g (Halal),RM24.98,10%,https://shopee.com.my/image_not_available.jpg,6/07/2025
